dag,week,jaar,tijd,gem_intensiteit
Friday,39,2020,12:00,1209.0645161290322
Friday,39,2020,13:00,1226.9032258064517
Friday,39,2020,14:00,1347.032258064516
Friday,39,2020,15:00,1421.3548387096773
Friday,39,2020,16:00,1359.0645161290322
Friday,39,2020,17:00,1337.967741935484
Friday,39,2020,18:00,1121.6451612903227
Friday,39,2020,19:00,801.4193548387096
Friday,39,2020,20:00,617.2903225806451
Friday,39,2020,21:00,523.483870967742
Friday,39,2020,22:00,518.2258064516129
Friday,39,2020,23:00,427.4516129032258
Monday,38,2019,00:00,180.6451612903226
Monday,38,2019,01:00,113.19354838709677
Monday,38,2019,02:00,72.96774193548387
Monday,38,2019,03:00,70.06451612903226
Monday,38,2019,04:00,108.61290322580645
Monday,38,2019,05:00,319.19354838709677
Monday,38,2019,06:00,1007.8387096774194
Monday,38,2019,07:00,1422.8387096774193
Monday,38,2019,08:00,1198.258064516129
Monday,38,2019,09:00,1164.9354838709678
Monday,38,2019,10:00,1096.4193548387098
Monday,38,2019,11:00,1017.8387096774194
Monday,38,2019,12:00,1111.7096774193549
Monday,38,2019,13:00,1147.225806451613
Monday,38,2019,14:00,1245.8064516129032
Monday,38,2019,15:00,1384.7096774193549
Monday,38,2019,16:00,1470.7096774193549
Monday,38,2019,17:00,1535.774193548387
Monday,38,2019,18:00,1222.225806451613
Monday,38,2019,19:00,790.6129032258065
Monday,38,2019,20:00,593.9032258064516
Monday,38,2019,21:00,518.3225806451613
Monday,38,2019,22:00,446.93548387096774
Monday,38,2019,23:00,278.8709677419355
Monday,38,2021,00:00,176.58064516129033
Monday,38,2021,01:00,102.90322580645162
Monday,38,2021,02:00,58.54838709677419
Monday,38,2021,03:00,56.645161290322584
Monday,38,2021,04:00,89.09677419354838
Monday,38,2021,05:00,269.80645161290323
Monday,38,2021,06:00,880.5806451612904
Monday,38,2021,07:00,1262.032258064516
Monday,38,2021,08:00,1451.6451612903227
Monday,38,2021,09:00,1061.8387096774193
Monday,38,2021,10:00,978.3870967741935
Monday,38,2021,11:00,987.741935483871
Monday,38,2021,12:00,1101.258064516129
Monday,38,2021,13:00,1143.258064516129
Monday,38,2021,14:00,1215.2903225806451
Monday,38,2021,15:00,1414.741935483871
Monday,38,2021,16:00,1462.258064516129
Monday,38,2021,17:00,1432.6774193548388
Monday,38,2021,18:00,1077.483870967742
Monday,38,2021,19:00,745.1290322580645
Monday,38,2021,20:00,608.741935483871
Monday,38,2021,21:00,512.8064516129032
Monday,38,2021,22:00,417.3225806451613
Monday,38,2021,23:00,259.61290322580646
Monday,38,2022,00:00,147.66666666666666
Monday,38,2022,01:00,91.03703703703704
Monday,38,2022,02:00,60.2962962962963
Monday,38,2022,03:00,65.11111111111111
Monday,38,2022,04:00,88.03703703703704
Monday,38,2022,05:00,245.22222222222223
Monday,38,2022,06:00,809.7777777777778
Monday,38,2022,07:00,1192.111111111111
Monday,38,2022,08:00,1383.9259259259259
Monday,38,2022,09:00,1031.962962962963
Monday,38,2022,10:00,837.4074074074074
Monday,38,2022,11:00,846.3703703703703
Monday,38,2022,12:00,921.0370370370371
Monday,38,2022,13:00,963.2962962962963
Monday,38,2022,14:00,1062.7777777777778
Monday,38,2022,15:00,1228.148148148148
Monday,38,2022,16:00,1291.111111111111
Monday,38,2022,17:00,1261.4444444444443
Monday,38,2022,18:00,942.7037037037037
Monday,38,2022,19:00,640.1481481481482
Monday,38,2022,20:00,494.22222222222223
Monday,38,2022,21:00,433.74074074074076
Monday,38,2022,22:00,371.55555555555554
Monday,38,2022,23:00,234.37037037037038
Monday,38,2023,00:00,138.1290322580645
Monday,38,2023,01:00,81.54838709677419
Monday,38,2023,02:00,53.16129032258065
Monday,38,2023,03:00,56.096774193548384
Monday,38,2023,04:00,75.45161290322581
Monday,38,2023,05:00,221.4516129032258
Monday,38,2023,06:00,700.1290322580645
Monday,38,2023,07:00,1097.1612903225807
Monday,38,2023,08:00,1169.225806451613
Monday,38,2023,09:00,925.9032258064516
Monday,38,2023,10:00,794.6774193548387
Monday,38,2023,11:00,814.0645161290323
Monday,38,2023,12:00,920.2258064516129
Monday,38,2023,13:00,924.3225806451613
Monday,38,2023,14:00,1012.8064516129032
Monday,38,2023,15:00,1223.516129032258
Monday,38,2023,16:00,1184.774193548387
Monday,38,2023,17:00,1183.032258064516
Monday,38,2023,18:00,903.1935483870968
Monday,38,2023,19:00,607.0
Monday,38,2023,20:00,466.51612903225805
Monday,38,2023,21:00,401.258064516129
Monday,38,2023,22:00,349.19354838709677
Monday,38,2023,23:00,230.80645161290323
Monday,38,2024,00:00,227.51612903225808
Monday,38,2024,01:00,119.51612903225806
Monday,38,2024,02:00,75.38709677419355
Monday,38,2024,03:00,68.93548387096774
Monday,38,2024,04:00,103.0
Monday,38,2024,05:00,275.6774193548387
Monday,38,2024,06:00,855.6129032258065
Monday,38,2024,07:00,1250.6129032258063
Monday,38,2024,08:00,1320.3225806451612
Monday,38,2024,09:00,998.0967741935484
Monday,38,2024,10:00,894.3225806451613
Monday,38,2024,11:00,914.741935483871
Monday,38,2024,12:00,1018.6129032258065
Monday,38,2024,13:00,1046.3225806451612
Monday,38,2024,14:00,1139.8064516129032
Monday,38,2024,15:00,1344.8064516129032
Monday,38,2024,16:00,1314.1935483870968
Monday,38,2024,17:00,1297.741935483871
Monday,38,2024,18:00,980.1290322580645
Monday,38,2024,19:00,697.483870967742
Monday,38,2024,20:00,630.8064516129032
Monday,38,2024,21:00,566.5483870967741
Monday,38,2024,22:00,467.7096774193548
Monday,38,2024,23:00,304.2903225806452
Monday,39,2020,00:00,144.96774193548387
Monday,39,2020,01:00,81.12903225806451
Monday,39,2020,02:00,46.516129032258064
Monday,39,2020,03:00,41.41935483870968
Monday,39,2020,04:00,73.48387096774194
Monday,39,2020,05:00,249.48387096774192
